Label,Value
Punto T-JET 1.4 16V Turbo 5p,4859
Scudo Cargo 1.5 16V Turbo Diesel,9919
Scudo Multi 1.5 16 V Turbo Diesel,9920
Siena 1.0 mpi/ 500 1.0 mpi,576
Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v,577
Siena 1.5 mpi 8V 4p,578
Siena ATTRACTIVE 1.0 Fire Flex 8V 4p,5299
Siena ATTRACTIVE 1.4 Fire Flex 8V 4p,5300
Siena Celebration 1.0 Fire Flex 8V 4p,3967
Siena City 4p,579
Siena EL 1.0 mpi Fire Flex 8V 4p,4860
Siena EL 1.4 mpi Fire Flex 8V 4p,5361
Siena EL 1.6 mpi 16V,580
Siena EL 1.6 spi,581
Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p,4861
Siena EL Celeb. 1.4 mpi Fire Flex 8V 4p,5362
Siena ELX 1.0 mpi Fire 16v 4p (25 anos),582
Siena ELX 1.0 mpi Fire/Fire Flex 8V 4p,583
Siena ELX 1.3 mpi Fire 16V 4p,584
Siena ELX 1.3 mpi Flex 8V 4p,585
Siena ELX 1.4 mpi Fire Flex 8V 4p,586
Siena ELX 1.5 mpi 4p,587
Siena ELX 1.6 mpi 8V/16V 4p,588
Siena ELX 1.8 mpi 8V 103cv 4p,589
Siena ESSENCE 1.6 Flex 16V 4p,5301
Siena ESSENCE Dualogic 1.6 Flex 16V 4p,5302
Siena EX 1.0 mpi Fire 16v 4p,590
Siena EX 1.3 mpi Fire 8V 67cv 4p,591
Siena EX 1.8 mpi 8V 103cv 4p,592
Siena HL 1.6 mpi 16V,593
Siena HLX 1.8 mpi Flex 8V 4p,594
Siena HLX Dualogic 1.8 mpi Flex 8V 4p,4969
Siena Sporting 1.6 Flex 16V 4p,5363
Siena Sporting Dualogic 1.6 Flex 16V 4p,5364
Siena Stile/Sport MTV 1.6 mpi 16V,595
Siena TETRAFUEL 1.4 mpi Fire Flex 8v 4p,4133
Stilo 1.8 ATTRACTIVE Flex 8V 5p,5064
Stilo 1.8 MS Lim.Edit./ MS Season 16V,597
Stilo 1.8 SP Flex 8V 5p,4187
Stilo 1.8 Sporting Flex 8V 5P,4329
Stilo 1.8/ 1.8 Connect 8V 103cv 5p,596
Stilo 1.8/ 1.8 Connect Flex 8V 5p,3813
Stilo 1.8/ 1.8 SP/ Connect 16V 122cv 5p,598
Stilo 2.4 Abarth 20V 167cv 5p,599
Stilo Dualogic 1.8 ATTRACTIVE Flex 8V 5p,10065
Stilo Dualogic 1.8 BlackMotion Flex 8V,4862
Stilo Dualogic 1.8 Flex 8V 5p,4529
Stilo Dualogic 1.8 SP Flex 8V 5p,4530
Stilo Dualogic 1.8 Sporting Flex 8V 5p,4531
Strada 1.3 mpi Fire 8V 67cv CE,600
Strada 1.3 mpi Fire 8V 67cv CS,601
Strada 1.4 mpi Fire Flex 8V CE,602
Strada 1.4 mpi Fire Flex 8V CS,603
Strada Adv. Ext. 1.8 LOCKER Dual.Flex CE,7450
Strada Adv. Ext./ Ext.1.8 LOCKER Flex CE,7451
Strada Adv. Extreme 1.8 Dual. Flex CE,7452
Strada Adv. M. March. 1.8 Flex 16V CD,6517
Strada Adv. M. March.1.8 Dual. Flex CD,6518
Strada Adv.1.8 16V  LOCKER Dual. Flex CE,6636
Strada Adv.1.8 16V Dualogic Flex CD,5620
Strada Adv.1.8 16V Dualogic Flex CE,6637
Strada Adv.1.8 16V LOCKER Dualo. Flex CD,5621
Strada Adv.Ext. 1.8 LOCKER Dual. Flex CD,7453
Strada Adv.Ext./ Ext. 1.8 LOCKER Flex CD,7454
Strada Adv/Adv TRYON 1.8 mpi Flex 8V CE,606
Strada Adventure 1.6 mpi 16V CE,604
Strada Adventure 1.8 mpi 8V 103cv CE,605
Strada Adventure 1.8/ 1.8 LOCKER Flex CE,4733
Strada Adventure Ext. 1.8  Dual. Flex CD,7455
Strada Adventure1.8/ 1.8 LOCKER Flex CD,4970
Strada Celeb. 1.4 mpi Fire Flex 8V CE,5274
Strada Celeb. 1.4 mpi Fire Flex 8V CS,5275
Strada Endurance 1.3 Flex 8V CS,10835
Strada Endurance 1.4 Flex 8V CD,9108
Strada Endurance 1.4 Flex 8V CS Plus,9109
Strada Freedom 1.3 Flex 8V  CS Plus,9110
Strada Freedom 1.3 Flex 8V CD,9111
Strada Freedom 1.4 Flex 8V CD,8399
Strada Freedom 1.4 Flex 8V CS,8544
Strada LX 1.6 16V CE,607
Strada LX 1.6 mpi 16V,608
Strada Opening Edition 1.3 Flex 8V CD,9229
Strada Ranch 1.0 Flex Turbo CD Aut.,10836
Strada Ranch 1.3 Flex 8V CD Aut.,9723
Strada Sporting 1.8 Flex 16V CE,5464
Strada Trek. M. March. 1.6 Flex 16V CE,6519
Strada Trekking 1.4 mpi Fire Flex 8V CE,3884
Strada Trekking 1.4 mpi Fire Flex 8V CS,3885
Strada Trekking 1.6 16V Flex CD,6055
Strada Trekking 1.6 16V Flex CE,6056
Strada Trekking 1.6 16V Flex CS,6057
Strada Trekking 1.6 16V LOCKER Flex  CD,7227
Strada Trekking 1.6 mpi,609
Strada Trekking 1.8 mpi Flex 8V CE,610
Strada Trekking 1.8 mpi Flex 8V CS,611
Strada Ultra 1.0 Flex Turbo CD Aut.,10837
Strada Volcano 1.3 Flex 8V CD,9112
Strada Volcano 1.3 Flex 8V CD Aut.,9724
Strada Working 1.4 mpi Fire Flex 8V CD,5066
Strada Working 1.4 mpi Fire Flex 8V CE,5067
Strada Working 1.4 mpi Fire Flex 8V CS,5068
Strada Working 1.6 mpi 16V CE,612
Strada Working 1.6 mpi 16V CS,613
Strada Working 1.8 mpi 8v 103cv CE,614
Strada Working 1.8 mpi 8V 103cv CS,615
Strada Working Celeb.1.4 Fire Flex 8V CD,6096
Strada Working Celeb.1.4 Fire Flex 8V CE,6097
Strada Working Celeb.1.4 Fire Flex 8V CS,6098
Strada Working HARD 1.4 Fire Flex 8V CD,7134
Strada Working HARD 1.4 Fire Flex 8V CE,7135
Strada Working HARD 1.4 Fire Flex 8V CS,7136
Strada Working Plus 1.4 8V Flex CS,7752
Strada/ Strada Working 1.5 mpi 8V CE,616
Strada/ Strada Working 1.5 mpi 8V CS,617
Tempra 2.0 i.e 16V 2p e 4p,618
Tempra 2.0 i.e. 8V 2p e 4p,619
Tempra 2.0 mpi 16V,620
Tempra 8V/ City 8V,621
Tempra HLX 2.0 16V 4p,622
Tempra Ouro 16V 2p e 4p,623
Tempra Ouro/Prata 2.0 2p e 4p,624
Tempra Stile 2.0 i.e. Turbo 4p,625
Tempra SW SLX 2.0 i.e.,626
Tempra SX 2.0 16V 4p,627
Tempra SX 2.0 i.e. 8V 4p,628
Tempra Turbo 2.0 i.e. 2p,629
Tipo 1.6 i.e. 2p e 4p,630
Tipo 1.6 mpi 4p,631
Tipo 2.0 16V 2p/4p,632
Tipo 2.0 SLX 4p,633
Toro Blackjack 2.4 16V flex Aut,8046
Toro Endurance 1.3 T270 4x2 Flex Aut.,9493
Toro Endurance 1.8 16V Flex Aut.,8236
Toro Endurance 1.8 16V Flex Mec.,8741
Toro Endurance 2.0 16V 4x4 Diesel Aut.,8742
Toro Freedom 1.3 T270 4x2 Flex Aut.,9494
Toro Freedom 1.8 16V Flex Aut.,7475
Toro Freedom 2.0 16V 4x2 TB Diesel Mec.,7476
Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,10069
Toro Freedom 2.0 16V 4x4 TB Diesel Mec.,7477
Toro Freedom 2.4 16V Flex Aut.,7789
Toro Freedom Road 1.8 16V Flex Aut.,7950
Toro Freedom Road 2.4 16V Flex Aut.,7951
Toro Opening Ed. Plus 1.8 16V Flex Aut.,7921
Toro Opening Edition 1.8 16V Flex Aut.,7478
Toro Ranch 2.0 16V 4x4 TB Diesel Aut.,10070
Toro Ultra 2.0 16V 4x4 TB Diesel Aut.,10071
Toro Volcano 1.3 T270 4x2 Flex Aut.,9495
Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,7479
Toro Volcano 2.4 16V Flex Aut.,8237
Uno 1.6 mpi 2p e 4p,634
Uno 1.6R mpi / 1.6R / 1.5R,635
UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 2p,5480
UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 4p,5240
UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,6957
UNO ATTRACTIVE 1.0 Flex 6V 5p,7732
UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 2p,5481
UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 4p,5239
UNO CIAO 1.0 Fire Flex 8V 5p,9725
Uno City / Smart City 1.0 4p,636
Uno CS/Top/Sport 1.5 i.e. / 1.5 /1.3,637
Uno CS/Top/Sport 1.5 i.e. / 1.5 4p,638
Uno CSL 1.6 4p (Argentino),639
UNO DRIVE 1.0 Flex 6V 5p,7952
UNO ECONOMY 1.4 EVO Fire Flex 8V 2p,5664
UNO ECONOMY 1.4 EVO Fire Flex 8V 4p,5665
UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 2p,5666
UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 4p,5667
UNO EVOLUTION 1.4 Fire Flex 8V 5p,6958
UNO Furgão 1.0 Fire Flex 8V 3p,7119
Uno Furgão 1.3 mpi Fire/ Fire Flex 8V,640
Uno Furgão 1.5 mpi/i.e.,641
Uno Furgão 1.5/ 1.3,642
Uno Mille  ELX  2p e 4p,643
Uno Mille 1.0 Electronic 4p,646
Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 2p,644
