Marca,Modelo,Código API
Audi,RS5 SPB. C.Plus Track 2.9 Quat. S-tronic,10681
Audi,RS5 SPB. Compet. Plus 2.9 Quat. S-tronic,10682
Audi,RS5 Sportback 2.9 V6 TFSI Quattro Tip.,9247
Audi,RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),10227
Audi,RS6 4.0 Avant.Perf TFSI Quat.Tip.(Hib),11236
Audi,RS6 4.2 450cv BI-TB Quattro Tiptronic 4p,131
Audi,RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p,132
Audi,RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,5335
Audi,RS6 5.0 FSI V10 Bi-TB Quattro Tip.,5336
Audi,RS7 Sportback 4.0 TFSI Quattro Tiptronic,6883
Audi,S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,6769
Audi,S3 1.8 225cv Turbo Quattro,133
Audi,S3 Sedan 2.0 TFSI Quattro 286cv S-tronic,6951
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,5127
Audi,S4 2.7 Avant Turbo Quattro,134
Audi,S4 2.7 Turbo Quattro Mec.,135
Audi,S4 3.0 Avant TFSI V6 24V Quattro Stronic,6085
Audi,S4 3.0 TFSI V6 24V Quattro Stronic,6086
Audi,S4 4.2 Avant V8 40V 344cv Quattro Tipt.,136
Audi,S4 4.2 V8 40V 344cv Quattro Tiptronic,137
Audi,S5 Cabriolet 3.0 TFSI Quattro Stronic,6087
Audi,S5 Coupê 3.0 TFSI Quattro Stronic,6088
Audi,S5 Sportback 3.0 TFSI Quattro Stronic,6089
Audi,S6 2.2 20V TB,138
Audi,S6 2.2 Avant 20V TB,139
Audi,S6 4.0 TFSI Quattro S-Tronic 4p,7302
Audi,S6 4.2 Avant V8 40V Quattro Tiptronic,140
Audi,S6 4.2 V8 40V Quattro Mec,141
Audi,S6 4.2 V8 40V Quattro Tiptronic,142
Audi,S6 5.2 Avant FSI V10 435cv Quattro Tiptr,5186
Audi,S6 5.2 FSI V10 435cv Quattro Tiptronic,5187
Audi,S6 Plus 4.2 Avant V8 32V,143
Audi,S6 Plus 4.2 V8 32V,144
Audi,S7 4.0 TFSI 420/450cv Quattro S-tronic,6632
Audi,S8 4.0 TFSI Quattro Tiptronic 4p,7128
Audi,S8 4.2 Mec,145
Audi,S8 4.2 Quattro Mec.,146
Audi,S8 4.2 Quattro Tiptronic,147
Audi,S8 4.2 Tiptronic,148
Audi,SQ8 Sportback E-Tron Quattro (Elétrico),11197
Audi,TT 1.8 TB 180cv,149
Audi,TT 1.8 TB Quattro 225cv,150
Audi,TT 2.0 16v TFSI S-Tronic,4330
Audi,TT Roadster 1.8 TB Quattro 225cv (Conv.),151
Audi,TT Roadster 2.0 16v TFSI S-Tronic,4431
